yelp_biz_name,rating_type,rating_date,rating
nice-green-bo-restaurant-new-york,yelp,02/17/08,4
nice-green-bo-restaurant-new-york,yelp,02/21/09,4
nice-green-bo-restaurant-new-york,yelp,11/05/10,3
nice-green-bo-restaurant-new-york,yelp,12/30/08,3
nice-green-bo-restaurant-new-york,yelp,01/09/09,5
nice-green-bo-restaurant-new-york,yelp,05/01/11,2
nice-green-bo-restaurant-new-york,yelp,07/13/08,4
nice-green-bo-restaurant-new-york,yelp,04/05/09,4
nice-green-bo-restaurant-new-york,yelp,06/05/09,3
nice-green-bo-restaurant-new-york,yelp,03/21/10,3
nice-green-bo-restaurant-new-york,yelp,04/17/10,4
nice-green-bo-restaurant-new-york,yelp,02/15/08,5
nice-green-bo-restaurant-new-york,yelp,09/18/08,5
nice-green-bo-restaurant-new-york,yelp,01/16/09,4
nice-green-bo-restaurant-new-york,yelp,04/13/09,4
nice-green-bo-restaurant-new-york,yelp,05/07/09,4
nice-green-bo-restaurant-new-york,yelp,10/28/09,4
nice-green-bo-restaurant-new-york,yelp,02/08/10,4
nice-green-bo-restaurant-new-york,yelp,06/26/11,5
nice-green-bo-restaurant-new-york,yelp,06/17/10,3
nice-green-bo-restaurant-new-york,yelp,06/13/10,3
nice-green-bo-restaurant-new-york,yelp,10/10/08,4
nice-green-bo-restaurant-new-york,yelp,12/28/09,4
nice-green-bo-restaurant-new-york,yelp,05/10/11,4
nice-green-bo-restaurant-new-york,yelp,02/14/10,3
nice-green-bo-restaurant-new-york,yelp,04/05/11,4
nice-green-bo-restaurant-new-york,yelp,02/21/11,3
nice-green-bo-restaurant-new-york,yelp,01/24/09,2
nice-green-bo-restaurant-new-york,yelp,08/13/09,1
nice-green-bo-restaurant-new-york,yelp,10/01/09,4
nice-green-bo-restaurant-new-york,yelp,06/02/11,4
nice-green-bo-restaurant-new-york,yelp,01/03/11,5
nice-green-bo-restaurant-new-york,yelp,04/01/07,5
nice-green-bo-restaurant-new-york,yelp,09/17/06,4
nice-green-bo-restaurant-new-york,yelp,04/16/11,4
nice-green-bo-restaurant-new-york,yelp,12/28/07,5
nice-green-bo-restaurant-new-york,yelp,12/21/07,4
nice-green-bo-restaurant-new-york,yelp,02/25/08,3
nice-green-bo-restaurant-new-york,yelp,01/17/07,3
nice-green-bo-restaurant-new-york,yelp,08/09/08,5
nice-green-bo-restaurant-new-york,yelp,03/25/09,5
nice-green-bo-restaurant-new-york,yelp,03/29/11,4
nice-green-bo-restaurant-new-york,yelp,02/15/06,4
nice-green-bo-restaurant-new-york,yelp,07/17/07,4
nice-green-bo-restaurant-new-york,yelp,01/22/07,5
nice-green-bo-restaurant-new-york,yelp,10/08/11,5
nice-green-bo-restaurant-new-york,yelp,04/06/07,4
nice-green-bo-restaurant-new-york,yelp,12/06/10,4
nice-green-bo-restaurant-new-york,yelp,01/11/11,4
nice-green-bo-restaurant-new-york,yelp,02/04/07,3
nice-green-bo-restaurant-new-york,yelp,08/02/07,5
nice-green-bo-restaurant-new-york,yelp,07/29/07,3
nice-green-bo-restaurant-new-york,yelp,01/21/08,4
nice-green-bo-restaurant-new-york,yelp,06/10/10,4
nice-green-bo-restaurant-new-york,yelp,10/16/06,4
nice-green-bo-restaurant-new-york,yelp,07/13/09,5
nice-green-bo-restaurant-new-york,yelp,09/22/11,2
nice-green-bo-restaurant-new-york,yelp,08/04/08,2
nice-green-bo-restaurant-new-york,yelp,09/09/10,4
nice-green-bo-restaurant-new-york,yelp,12/07/05,4
nice-green-bo-restaurant-new-york,yelp,10/02/09,4
nice-green-bo-restaurant-new-york,yelp,06/06/07,4
nice-green-bo-restaurant-new-york,yelp,05/22/07,4
nice-green-bo-restaurant-new-york,yelp,01/11/10,2
nice-green-bo-restaurant-new-york,yelp,09/10/07,4
nice-green-bo-restaurant-new-york,yelp,11/25/07,4
nice-green-bo-restaurant-new-york,yelp,08/26/08,3
nice-green-bo-restaurant-new-york,yelp,09/11/09,4
nice-green-bo-restaurant-new-york,yelp,09/14/09,4
nice-green-bo-restaurant-new-york,yelp,12/10/08,1
nice-green-bo-restaurant-new-york,yelp,01/21/09,4
nice-green-bo-restaurant-new-york,yelp,10/11/09,4
nice-green-bo-restaurant-new-york,yelp,11/21/10,4
nice-green-bo-restaurant-new-york,yelp,07/02/07,4
nice-green-bo-restaurant-new-york,yelp,08/24/11,5
nice-green-bo-restaurant-new-york,yelp,01/11/09,4
nice-green-bo-restaurant-new-york,yelp,12/28/07,4
nice-green-bo-restaurant-new-york,yelp,11/03/10,4
nice-green-bo-restaurant-new-york,yelp,06/16/08,5
nice-green-bo-restaurant-new-york,yelp,09/07/08,4
nice-green-bo-restaurant-new-york,yelp,10/02/08,4
nice-green-bo-restaurant-new-york,yelp,10/11/09,3
nice-green-bo-restaurant-new-york,yelp,07/28/09,5
nice-green-bo-restaurant-new-york,yelp,04/05/08,4
nice-green-bo-restaurant-new-york,yelp,12/11/08,4
nice-green-bo-restaurant-new-york,yelp,04/21/10,4
nice-green-bo-restaurant-new-york,yelp,07/14/10,3
nice-green-bo-restaurant-new-york,yelp,03/21/06,2
nice-green-bo-restaurant-new-york,yelp,11/25/08,3
nice-green-bo-restaurant-new-york,yelp,01/20/10,4
nice-green-bo-restaurant-new-york,yelp,08/12/11,5
nice-green-bo-restaurant-new-york,yelp,08/05/10,4
nice-green-bo-restaurant-new-york,yelp,09/08/10,4
nice-green-bo-restaurant-new-york,yelp,07/21/10,4
nice-green-bo-restaurant-new-york,yelp,06/03/07,4
nice-green-bo-restaurant-new-york,yelp,11/12/09,3
nice-green-bo-restaurant-new-york,yelp,06/20/07,4
nice-green-bo-restaurant-new-york,yelp,07/07/09,4
nice-green-bo-restaurant-new-york,yelp,09/03/07,5
nice-green-bo-restaurant-new-york,yelp,08/29/09,3
nice-green-bo-restaurant-new-york,yelp,11/12/09,4
nice-green-bo-restaurant-new-york,yelp,12/04/07,4
nice-green-bo-restaurant-new-york,yelp,06/09/09,3
nice-green-bo-restaurant-new-york,yelp,07/10/09,4
nice-green-bo-restaurant-new-york,yelp,02/26/08,4
nice-green-bo-restaurant-new-york,yelp,02/27/09,5
nice-green-bo-restaurant-new-york,yelp,03/21/10,2
nice-green-bo-restaurant-new-york,yelp,04/22/09,1
nice-green-bo-restaurant-new-york,yelp,07/30/09,4
nice-green-bo-restaurant-new-york,yelp,09/16/09,4
nice-green-bo-restaurant-new-york,yelp,04/21/10,4
nice-green-bo-restaurant-new-york,yelp,03/22/09,3
nice-green-bo-restaurant-new-york,yelp,04/29/09,4
nice-green-bo-restaurant-new-york,yelp,06/05/09,5
nice-green-bo-restaurant-new-york,yelp,11/01/09,4
nice-green-bo-restaurant-new-york,yelp,06/30/10,5
nice-green-bo-restaurant-new-york,yelp,06/30/10,4
nice-green-bo-restaurant-new-york,yelp,06/14/10,4
nice-green-bo-restaurant-new-york,yelp,05/14/11,4
nice-green-bo-restaurant-new-york,yelp,06/13/09,5
nice-green-bo-restaurant-new-york,yelp,05/08/11,4
nice-green-bo-restaurant-new-york,yelp,03/06/11,5
nice-green-bo-restaurant-new-york,yelp,11/28/10,4
nice-green-bo-restaurant-new-york,yelp,12/29/10,3
nice-green-bo-restaurant-new-york,yelp,02/14/11,4
nice-green-bo-restaurant-new-york,yelp,12/29/07,4
nice-green-bo-restaurant-new-york,yelp,04/27/06,2
nice-green-bo-restaurant-new-york,yelp,10/31/10,3
nice-green-bo-restaurant-new-york,yelp,02/22/08,5
nice-green-bo-restaurant-new-york,yelp,12/13/08,3
nice-green-bo-restaurant-new-york,yelp,04/27/09,4
nice-green-bo-restaurant-new-york,yelp,05/15/09,3
nice-green-bo-restaurant-new-york,yelp,05/16/09,3
nice-green-bo-restaurant-new-york,yelp,05/30/10,4
nice-green-bo-restaurant-new-york,yelp,05/12/07,5
nice-green-bo-restaurant-new-york,yelp,04/05/08,4
nice-green-bo-restaurant-new-york,yelp,11/28/09,4
nice-green-bo-restaurant-new-york,yelp,12/07/05,4
nice-green-bo-restaurant-new-york,yelp,03/02/09,5
nice-green-bo-restaurant-new-york,yelp,02/22/09,4
